GenesSet	SDY	Rsq
N	SDY312_Other_GroupA	0.562962766
N	SDY312_Other_GroupB	0.538138298
N	SDY312_Other_GroupC	0.520239362
N	SDY315_Other_GroupA	0.588893617
N	SDY315_Other_GroupB	0.627446809
N	SDY315_Other_GroupC	0.430654255
N	SDY364_WholeBlood_NCH2012	0.506914894
N	SDY368_WholeBlood_NCH2013	0.514265957
N	SDY372_WholeBlood_JDM2012	0.405882979
N	SDY387_WholeBlood_NCH2010	0.330553191
N	SDY400_PBMC_Older	0.339574468
N	SDY400_PBMC_Young	0.419042553
N	SDY404_PBMC_Older	0.481755319
N	SDY404_PBMC_Young	0.617154255
N	SDY520_WholeBlood_Older	0.523941489
N	SDY520_WholeBlood_Young	0.384340426
N	SDY56_PBMC_Older	0.718324468
N	SDY56_PBMC_Young	0.321744681
N	SDY63_PBMC_Young	0.44087234
N	SDY67_PBMC_HealthyAdults	0.447510638
N	SDY739_old	0.507356383
N	SDY739_young	0.422893617
N	SDY80_PBMC_Cohort2	0.633968085
N	GSE107990	0.660521277
N	SDY1119_PBMC_oldHealthy	0.454069149
N	SDY1119_PBMC_youngHealthy	0.334765957
N	SDY1119_PBMC_youngT2D	0.381297872
N	SDY112_Other_GroupA	0.523042553
N	SDY112_Other_GroupB	0.406819149
N	SDY112_Other_GroupC	0.375031915
N	SDY113_Other_IDTIV	0.57037766
N	SDY113_Other_TIV	0.508648936
N	SDY1276_WholeBlood_Discovery	0.527202128
N	SDY1276_WholeBlood_Validation	0.368659574
N	SDY144_Other_TIV	0.553776596
N	SDY212_PBMC_Older	0.518191489
N	SDY212_PBMC_Young	0.347382979
N	SDY212_WholeBlood_Older	0.596106383
N	SDY212_WholeBlood_Young	0.515085106
N	SDY269_PBMC_TIV	0.486659574
N	SDY270_PBMC_TIVGroup	0.523042553
N	SDY296_WholeBlood_AIRFV	0.532489362
N	SDY301_Other_AIRFV	0.453553191
N	SDY305_Other_TIV	0.65625
N	SDY311_GroupA	0.694994681
N	SDY311_GroupB	0.465351064
N	SDY311_GroupC	0.372382979
N	SDY312_Other_GroupA	0.478734043
N	SDY312_Other_GroupB	0.452542553
N	SDY312_Other_GroupC	0.424414894
N	SDY315_Other_GroupA	0.536085106
N	SDY315_Other_GroupB	0.631851064
N	SDY315_Other_GroupC	0.366468085
N	SDY364_WholeBlood_NCH2012	0.584404255
N	SDY368_WholeBlood_NCH2013	0.468510638
N	SDY372_WholeBlood_JDM2012	0.506244681
N	SDY387_WholeBlood_NCH2010	0.400531915
N	SDY400_PBMC_Older	0.55112766
N	SDY400_PBMC_Young	0.608015957
N	SDY404_PBMC_Older	0.400531915
N	SDY404_PBMC_Young	0.376361702
N	SDY520_WholeBlood_Older	0.582478723
N	SDY520_WholeBlood_Young	0.627712766
N	SDY56_PBMC_Older	0.480680851
N	SDY56_PBMC_Young	0.295404255
N	SDY63_PBMC_Young	0.620797872
N	SDY67_PBMC_HealthyAdults	0.575393617
N	SDY739_old	0.621989362
N	SDY739_young	0.468856383
N	SDY80_PBMC_Cohort2	0.527202128
O	GSE107990	0.571601064
O	SDY1119_PBMC_oldHealthy	0.303659574
O	SDY1119_PBMC_youngHealthy	0.496574468
O	SDY1119_PBMC_youngT2D	0.55037234
O	SDY112_Other_GroupA	0.393829787
O	SDY112_Other_GroupB	0.58762766
O	SDY112_Other_GroupC	0.569728723
O	SDY113_Other_IDTIV	0.633297872
O	SDY113_Other_TIV	0.529414894
O	SDY1276_WholeBlood_Discovery	0.494319149
O	SDY1276_WholeBlood_Validation	0.648042553
O	SDY144_Other_TIV	0.451909574
O	SDY212_PBMC_Older	0.397840426
O	SDY212_PBMC_Young	0.508648936
O	SDY212_WholeBlood_Older	0.383255319
O	SDY212_WholeBlood_Young	0.589861702
O	SDY269_PBMC_TIV	0.518904255
O	SDY270_PBMC_TIVGroup	0.443829787
O	SDY296_WholeBlood_AIRFV	0.646946809
O	SDY301_Other_AIRFV	0.437138298
O	SDY305_Other_TIV	0.602425532
O	SDY311_GroupA	0.600925532
O	SDY311_GroupB	0.482265957
O	SDY311_GroupC	0.571015957
O	SDY312_Other_GroupA	0.62606383
O	SDY312_Other_GroupB	0.61412234
O	SDY312_Other_GroupC	0.594042553
O	SDY315_Other_GroupA	0.475297872
O	SDY315_Other_GroupB	0.584085106
O	SDY315_Other_GroupC	0.712180851
O	SDY364_WholeBlood_NCH2012	0.682335106
O	SDY368_WholeBlood_NCH2013	0.28506383
O	SDY372_WholeBlood_JDM2012	0.537335106
O	SDY387_WholeBlood_NCH2010	0.462606383
O	SDY400_PBMC_Older	0.575393617
O	SDY400_PBMC_Young	0.559164894
O	SDY404_PBMC_Older	0.593712766
O	SDY404_PBMC_Young	0.550787234
O	SDY520_WholeBlood_Older	0.513414894
O	SDY520_WholeBlood_Young	0.321744681
O	SDY56_PBMC_Older	0.316351064
O	SDY56_PBMC_Young	0.325446809
O	SDY63_PBMC_Young	0.406819149
O	SDY67_PBMC_HealthyAdults	0.359595745
O	SDY739_old	0.671276596
O	SDY739_young	0.721755319
O	SDY80_PBMC_Cohort2	0.518191489
